# Total Pointers Found: 2313
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2313
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
63A8 | __text | 12EF4 | dword_12EF4 | data_pointer | data_item_size=4
63B4 | __text | 120D0 | off_120D0 | data_pointer | data_item_size=8
63CC | __text | 7368 | loc_7368 | code_pointer | inside_sub_6CD8
63CC | __text | 120E0 | off_120E0 | data_pointer | data_item_size=8
63D4 | __text | 10260 | unk_10260 | unknown_pointer | 
63DC | __text | 102C0 | asc_102C0 | string_pointer | ""
63E4 | __text | 101C0 | unk_101C0 | unknown_pointer | 
63EC | __text | 10210 | asc_10210 | string_pointer | string_literal
6424 | __text | 673C | loc_673C | code_pointer | inside_sub_6410
6424 | __text | 11360 | off_11360 | data_pointer | data_item_size=8
6434 | __text | 643C | loc_643C | code_pointer | inside_sub_6410
6434 | __text | 112A0 | off_112A0 | data_pointer | data_item_size=8
6440 | __text | 10BF8 | dword_10BF8 | data_pointer | data_item_size=4
6448 | __text | 10BFC | dword_10BFC | data_pointer | data_item_size=4
6488 | __text | 12130 | off_12130 | data_pointer | data_item_size=8
64A0 | __text | FE29 | sel_fileExistsAtPath: | string_pointer | "fileExistsAtPath:"
64A0 | __text | 10138 | selRef_fileExistsAtPath: | data_pointer | data_item_size=8
64A4 | __text | 10320 | stru_10320 | struct_pointer | struct_data
64B0 | __text | 10030 | _objc_msgSend_ptr | data_pointer | data_item_size=8
64B0 | __text | 12F78 | __imp__objc_msgSend | import_pointer | import_entry
64C8 | __text | 12140 | off_12140 | data_pointer | data_item_size=8
64E0 | __text | 10C00 | dword_10C00 | data_pointer | data_item_size=4
64E8 | __text | 10C04 | dword_10C04 | data_pointer | data_item_size=4
6520 | __text | 12150 | off_12150 | data_pointer | data_item_size=8
6538 | __text | 10C10 | dword_10C10 | data_pointer | data_item_size=4
6540 | __text | 10C14 | dword_10C14 | data_pointer | data_item_size=4
6568 | __text | 12170 | off_12170 | data_pointer | data_item_size=8
6580 | __text | 6588 | loc_6588 | code_pointer | inside_sub_6410
6580 | __text | 112E8 | off_112E8 | data_pointer | data_item_size=8
658C | __text | 10C18 | dword_10C18 | data_pointer | data_item_size=4
6594 | __text | 10C1C | dword_10C1C | data_pointer | data_item_size=4
65BC | __text | 10198 | classRef_NSDictionary | data_pointer | data_item_size=8
65BC | __text | 12FD0 | _OBJC_CLASS_$_NSDictionary | unknown_pointer | 
65C0 | __text | 12180 | off_12180 | data_pointer | data_item_size=8
65E0 | __text | FE3B | sel_initWithContentsOfFile: | string_pointer | "initWithContentsOfFile:"
65E0 | __text | 10140 | selRef_initWithContentsOfFile: | data_pointer | data_item_size=8
65E4 | __text | 10320 | stru_10320 | struct_pointer | struct_data
65F8 | __text | 10C20 | dword_10C20 | data_pointer | data_item_size=4
6600 | __text | 10C24 | dword_10C24 | data_pointer | data_item_size=4
663C | __text | 12190 | off_12190 | data_pointer | data_item_size=8
6660 | __text | 6668 | loc_6668 | code_pointer | inside_sub_6410
6660 | __text | 112C0 | off_112C0 | data_pointer | data_item_size=8
666C | __text | 10C08 | dword_10C08 | data_pointer | data_item_size=4
6674 | __text | 10C0C | dword_10C0C | data_pointer | data_item_size=4
