# Total Pointers Found: 5573
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 5573
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
3748 | __text | 37E30 | cfstr_SyscfgLengthLu | struct_pointer | struct_data
3780 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
37A4 | __text | 37E50 | cfstr_SyscfgLengthLu_0 | struct_pointer | struct_data
3878 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
389C | __text | 37E70 | cfstr_SyscfgEntryUOf | struct_pointer | struct_data
397C | __text | 1C090 | _kIOMasterPortDefault_ptr | data_pointer | data_item_size=8
3980 | __text | 1C090 | _kIOMasterPortDefault_ptr | data_pointer | data_item_size=8
3980 | __text | 3E028 | _kIOMasterPortDefault | data_pointer | data_item_size=4
3984 | __text | 3E028 | _kIOMasterPortDefault | data_pointer | data_item_size=4
3988 | __text | 157E6 | aApplediagnosti_1 | string_pointer | "AppleDiagnosticDataAccess"
39AC | __text | 15800 | aApplediagnosti_2 | string_pointer | "AppleDiagnosticDataAccessReadOnly"
39CC | __text | 1C040 | _kCFAllocatorDefault_ptr | data_pointer | data_item_size=8
39D0 | __text | 1C040 | _kCFAllocatorDefault_ptr | data_pointer | data_item_size=8
39D0 | __text | 3DE00 | _kCFAllocatorDefault | data_pointer | data_item_size=8
39D4 | __text | 3DE00 | _kCFAllocatorDefault | data_pointer | data_item_size=8
39DC | __text | 37BD0 | cfstr_Applediagnosti | struct_pointer | struct_data
3A0C | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3A28 | __text | 37C10 | cfstr_DiagnosticData | struct_pointer | struct_data
3A4C | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3A68 | __text | 37BF0 | cfstr_UnableToGetDia | struct_pointer | struct_data
3A9C | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3ABC | __text | 37BB0 | cfstr_UnableToGetSSe | struct_pointer | struct_data
3AE4 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3AEC | __text | 3DC08 | qword_3DC08 | data_pointer | data_item_size=8
3AF8 | __text | 3DC10 | qword_3DC10 | data_pointer | data_item_size=8
3B08 | __text | 3DC08 | qword_3DC08 | data_pointer | data_item_size=8
3B0C | __text | 1C680 | stru_1C680 | struct_pointer | struct_data
3B30 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
3B34 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
3B34 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
3B38 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
3B68 | __text | 158A4 | aHwModel | string_pointer | "hw.model"
3B7C | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3B98 | __text | 37C30 | cfstr_CouldNotLookup_0 | struct_pointer | struct_data
3BB8 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3BC0 | __text | 3DC10 | qword_3DC10 | data_pointer | data_item_size=8
3BC4 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
3BF8 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3C00 | __text | 3DC18 | qword_3DC18 | data_pointer | data_item_size=8
3C0C | __text | 3DC20 | qword_3DC20 | data_pointer | data_item_size=8
3C1C | __text | 3DC18 | qword_3DC18 | data_pointer | data_item_size=8
3C20 | __text | 1C6C0 | stru_1C6C0 | struct_pointer | struct_data
3C44 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
3C48 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
3C48 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
3C4C | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
3C7C | __text | 158CE | aHwMachine | string_pointer | "hw.machine"
3C94 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3CB0 | __text | 37C50 | cfstr_CouldNotLookup_1 | struct_pointer | struct_data
3CD0 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3CD8 | __text | 3DC20 | qword_3DC20 | data_pointer | data_item_size=8
3CDC | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
3D0C | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3D14 | __text | 3DC28 | qword_3DC28 | data_pointer | data_item_size=8
3D20 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3D28 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3D34 | __text | 3DC28 | qword_3DC28 | data_pointer | data_item_size=8
3D38 | __text | 1C700 | stru_1C700 | struct_pointer | struct_data
3D54 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3D5C | __text | 3DC18 | qword_3DC18 | data_pointer | data_item_size=8
3D68 | __text | 3DC20 | qword_3DC20 | data_pointer | data_item_size=8
3D70 | __text | 158F5 | aIphone | string_pointer | "iPhone"
3D88 | __text | 158FC | aIpod | string_pointer | "iPod"
3DA0 | __text | 15901 | aIpad | string_pointer | "iPad"
3DB8 | __text | 15906 | aAppletv | string_pointer | "AppleTV"
3DD0 | __text | 1590E | aIfpga | string_pointer | "iFPGA"
3DE8 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3DF0 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3DFC | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
3E18 | __text | 37C70 | cfstr_CouldNotGetDev | struct_pointer | struct_data
3E30 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3E50 | __text | 3DC18 | qword_3DC18 | data_pointer | data_item_size=8
3E54 | __text | 1C6C0 | stru_1C6C0 | struct_pointer | struct_data
3E70 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3E78 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3F60 | __text | 3DC00 | off_3DC00 | data_pointer | data_item_size=8
3F68 | __text | 3DC30 | qword_3DC30 | data_pointer | data_item_size=8
3F74 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3F7C | __text | 3C274 | dword_3C274 | data_pointer | data_item_size=4
3F88 | __text | 3DC30 | qword_3DC30 | data_pointer | data_item_size=8
3F8C | __text | 1C740 | stru_1C740 | struct_pointer | struct_data
3FA4 | __text | 1592F | aIodevicetreePr | string_pointer | "IODeviceTree:/product"
3FAC | __text | 37C90 | cfstr_UdidVersion | struct_pointer | struct_data
3FC4 | __text | 3C270 | dword_3C270 | data_pointer | data_item_size=4
3FCC | __text | 3C274 | dword_3C274 | data_pointer | data_item_size=4
41A8 | __text | 1C008 | __DefaultRuneLocale_ptr | data_pointer | data_item_size=8
41AC | __text | 1C008 | __DefaultRuneLocale_ptr | data_pointer | data_item_size=8
41AC | __text | 3E130 | __DefaultRuneLocale | unknown_pointer | 
4218 | __text | 37CB0 | cfstr_0 | struct_pointer | struct_data
4248 | __text | 37CF0 | stru_37CF0 | struct_pointer | struct_data
4274 | __text | 37CD0 | cfstr_Llux0 | struct_pointer | struct_data
4388 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
43A8 | __text | 37D10 | cfstr_IllegalTypeFor | struct_pointer | struct_data
43FC | __text | 37D30 | cfstr_H63qsdbcitZ0wu | struct_pointer | struct_data
4434 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
4454 | __text | 37D50 | cfstr_CouldNotGetReg | struct_pointer | struct_data
4498 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
44A0 | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
44A0 | __text | 3D8B8 | unk_3D8B8 | unknown_pointer | 
44A4 | __text | 3D958 | off_3D958 | data_pointer | data_item_size=8
44C0 | __text | 37D70 | cfstr_Mobilegestalt | struct_pointer | struct_data
44DC | __text | 3C340 | off_3C340 | data_pointer | data_item_size=8
44DC | __text | 3D8B8 | unk_3D8B8 | unknown_pointer | 
44E0 | __text | 3D960 | off_3D960 | data_pointer | data_item_size=8
455C | __text | 159E5 | aUnknownPid | string_pointer | "unknown pid"
45D8 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
4604 | __text | 37D90 | cfstr_HostInfoFailed | struct_pointer | struct_data
46A8 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
46C8 | __text | 37DD0 | cfstr_Cfstringgetcst | struct_pointer | struct_data
46E8 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
4704 | __text | 37DB0 | cfstr_FailedToAlloca | struct_pointer | struct_data
4764 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
4768 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
4768 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
476C | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
4834 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
488C | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
4890 | __text | 1C018 | ___stack_chk_guard_ptr | data_pointer | data_item_size=8
4890 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
4894 | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
48D0 | __text | 15A6C | aSS | string_pointer | "%s%s"
493C | __text | 3E148 | ___stack_chk_guard | data_pointer | data_item_size=8
4A38 | __text | 1C010 | __NSConcreteStackBlock_ptr | data_pointer | data_item_size=8
4A3C | __text | 1C010 | __NSConcreteStackBlock_ptr | data_pointer | data_item_size=8
4A3C | __text | 3E140 | __NSConcreteStackBlock | unknown_pointer | 
4A4C | __text | 4AA4 | sub_4AA4 | function_pointer | function_start
4A58 | __text | 1C760 | unk_1C760 | unknown_pointer | 
4B90 | __text | 156D6 | aSourcecacheMob | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/utility.c"
4BB0 | __text | 37DF0 | cfstr_ArchSUnknown | struct_pointer | struct_data
4CA0 | __text | 15D23 | aVarMobileLibra | string_pointer | "/var/mobile/Library/Caches/com.apple.MobileGestalt.plist"
4CB4 | __text | 1C028 | __kCFSystemVersionBuildVersionKey_ptr | data_pointer | data_item_size=8
4CB8 | __text | 1C028 | __kCFSystemVersionBuildVersionKey_ptr | data_pointer | data_item_size=8
4CB8 | __text | 3DDE8 | __kCFSystemVersionBuildVersionKey | data_pointer | data_item_size=8
4CBC | __text | 3DDE8 | __kCFSystemVersionBuildVersionKey | data_pointer | data_item_size=8
4CD0 | __text | 37F90 | cfstr_Cacheversion | struct_pointer | struct_data
4CF8 | __text | 37FF0 | cfstr_Cacheuuid | struct_pointer | struct_data
4D10 | __text | 38010 | cfstr_0159961069ed4a | struct_pointer | struct_data
4D28 | __text | 37FB0 | cfstr_Cachedata | struct_pointer | struct_data
4D68 | __text | 37FD0 | cfstr_Cacheextra | struct_pointer | struct_data
4D84 | __text | 3C278 | unk_3C278 | unknown_pointer | 
4D9C | __text | 3D000 | unk_3D000 | unknown_pointer | 
4DBC | __text | 1C010 | __NSConcreteStackBlock_ptr | data_pointer | data_item_size=8
4DC0 | __text | 1C010 | __NSConcreteStackBlock_ptr | data_pointer | data_item_size=8
4DC0 | __text | 3E140 | __NSConcreteStackBlock | unknown_pointer | 
4DD0 | __text | 5578 | sub_5578 | function_pointer | function_start
4DDC | __text | 1C800 | unk_1C800 | unknown_pointer | 
4DFC | __text | 3C278 | unk_3C278 | unknown_pointer | 
4E0C | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
4E28 | __text | 38050 | cfstr_CanTValidateCa | struct_pointer | struct_data
4E44 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
4E60 | __text | 38070 | cfstr_CanTValidateCa_0 | struct_pointer | struct_data
4E80 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
4EA0 | __text | 38090 | cfstr_CacheDoesnTMat | struct_pointer | struct_data
4EB8 | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
4ED4 | __text | 380B0 | cfstr_CanTValidateCa_1 | struct_pointer | struct_data
4EEC | __text | 15CA0 | aSourcecacheMob_0 | string_pointer | "/SourceCache/MobileGestalt/MobileGestalt-241.5/MobileGestaltCache.c"
