# Total Pointers Found: 278
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 278
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
336C | __text | 4208 | off_4208 | data_pointer | data_item_size=8
3374 | __text | 4208 | off_4208 | data_pointer | data_item_size=8
3378 | __text | 3D46 | aDyldGetImageHe_0 | string_pointer | "__dyld_get_image_header_containing_address"
3384 | __text | 4208 | off_4208 | data_pointer | data_item_size=8
33CC | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
33D4 | __text | 4210 | off_4210 | data_pointer | data_item_size=8
33DC | __text | 4210 | off_4210 | data_pointer | data_item_size=8
33E0 | __text | 3D71 | aDyldMoninit | string_pointer | "__dyld_moninit"
33EC | __text | 4210 | off_4210 | data_pointer | data_item_size=8
3420 | __text | 3D80 | aDyldRegisterTh | string_pointer | "__dyld_register_thread_helpers"
3434 | __text | 4100 | __ZL8sHelpers | unknown_pointer | 
3468 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3470 | __text | 4218 | off_4218 | data_pointer | data_item_size=8
3478 | __text | 4218 | off_4218 | data_pointer | data_item_size=8
347C | __text | 3D9F | aDyldDlerror | string_pointer | "__dyld_dlerror"
3488 | __text | 4218 | off_4218 | data_pointer | data_item_size=8
34D4 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
34DC | __text | 4220 | off_4220 | data_pointer | data_item_size=8
34E4 | __text | 4220 | off_4220 | data_pointer | data_item_size=8
34E8 | __text | 3DAE | aDyldDladdr | string_pointer | "__dyld_dladdr"
34F4 | __text | 4220 | off_4220 | data_pointer | data_item_size=8
3544 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
354C | __text | 4228 | off_4228 | data_pointer | data_item_size=8
3554 | __text | 4228 | off_4228 | data_pointer | data_item_size=8
3558 | __text | 3DBC | aDyldDlclose | string_pointer | "__dyld_dlclose"
3564 | __text | 4228 | off_4228 | data_pointer | data_item_size=8
35A8 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
35B0 | __text | 4230 | off_4230 | data_pointer | data_item_size=8
35B8 | __text | 4230 | off_4230 | data_pointer | data_item_size=8
35BC | __text | 3DCB | aDyldDlopen | string_pointer | "__dyld_dlopen"
35C8 | __text | 4230 | off_4230 | data_pointer | data_item_size=8
3604 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
360C | __text | 4238 | off_4238 | data_pointer | data_item_size=8
3614 | __text | 4238 | off_4238 | data_pointer | data_item_size=8
3618 | __text | 3DD9 | aDyldDlopenPref | string_pointer | "__dyld_dlopen_preflight"
3624 | __text | 4238 | off_4238 | data_pointer | data_item_size=8
3674 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
367C | __text | 4240 | off_4240 | data_pointer | data_item_size=8
3684 | __text | 4240 | off_4240 | data_pointer | data_item_size=8
3688 | __text | 3DF1 | aDyldDlsym | string_pointer | "__dyld_dlsym"
3694 | __text | 4240 | off_4240 | data_pointer | data_item_size=8
36F0 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
36F8 | __text | 4248 | off_4248 | data_pointer | data_item_size=8
3700 | __text | 4248 | off_4248 | data_pointer | data_item_size=8
3704 | __text | 3DFE | aDyldDyldRegist | string_pointer | "__dyld_dyld_register_image_state_change_handler"
3710 | __text | 4248 | off_4248 | data_pointer | data_item_size=8
374C | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3754 | __text | 4250 | off_4250 | data_pointer | data_item_size=8
375C | __text | 4250 | off_4250 | data_pointer | data_item_size=8
3760 | __text | 3E2E | aDyldGetAllImag | string_pointer | "__dyld_get_all_image_infos"
376C | __text | 4250 | off_4250 | data_pointer | data_item_size=8
3794 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
379C | __text | 4258 | off_4258 | data_pointer | data_item_size=8
37A4 | __text | 4258 | off_4258 | data_pointer | data_item_size=8
37A8 | __text | 3E49 | aDyldFindUnwind | string_pointer | "__dyld_find_unwind_sections"
37B4 | __text | 4258 | off_4258 | data_pointer | data_item_size=8
37F4 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
37FC | __text | 4260 | off_4260 | data_pointer | data_item_size=8
3804 | __text | 4260 | off_4260 | data_pointer | data_item_size=8
3808 | __text | 3E65 | aDyldFastStubEn | string_pointer | "__dyld_fast_stub_entry"
3814 | __text | 4260 | off_4260 | data_pointer | data_item_size=8
3840 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3848 | __text | 4268 | off_4268 | data_pointer | data_item_size=8
3850 | __text | 4268 | off_4268 | data_pointer | data_item_size=8
3854 | __text | 3E7C | aDyldImagePathC | string_pointer | "__dyld_image_path_containing_address"
3860 | __text | 4268 | off_4268 | data_pointer | data_item_size=8
3880 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3888 | __text | 4270 | off_4270 | data_pointer | data_item_size=8
3890 | __text | 4270 | off_4270 | data_pointer | data_item_size=8
3894 | __text | 3EA1 | aDyldSharedCach | string_pointer | "__dyld_shared_cache_some_image_overridden"
38A0 | __text | 4270 | off_4270 | data_pointer | data_item_size=8
38C0 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
38C8 | __text | 4278 | off_4278 | data_pointer | data_item_size=8
38D0 | __text | 4278 | off_4278 | data_pointer | data_item_size=8
38D4 | __text | 3ECB | aDyldProcessIsR | string_pointer | "__dyld_process_is_restricted"
38E0 | __text | 4278 | off_4278 | data_pointer | data_item_size=8
3900 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3908 | __text | 4280 | off_4280 | data_pointer | data_item_size=8
3910 | __text | 4280 | off_4280 | data_pointer | data_item_size=8
3914 | __text | 3EE8 | aDyldForkChild | string_pointer | "__dyld_fork_child"
3920 | __text | 4280 | off_4280 | data_pointer | data_item_size=8
3944 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
394C | __text | 41B2 | byte_41B2 | data_pointer | data_item_size=1
3954 | __text | 4288 | qword_4288 | data_pointer | data_item_size=8
3958 | __text | 4038 | _free_ptr | data_pointer | data_item_size=8
395C | __text | 4038 | _free_ptr | data_pointer | data_item_size=8
395C | __text | 42C0 | __imp__free | import_pointer | import_entry
3968 | __text | 41B2 | byte_41B2 | data_pointer | data_item_size=1
3970 | __text | 4288 | qword_4288 | data_pointer | data_item_size=8
39B0 | __text | 4288 | qword_4288 | data_pointer | data_item_size=8
39E4 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
39EC | __text | 41B2 | byte_41B2 | data_pointer | data_item_size=1
39F8 | __text | 4288 | qword_4288 | data_pointer | data_item_size=8
3A24 | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3A2C | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3A38 | __text | 41B1 | byte_41B1 | data_pointer | data_item_size=1
3A64 | __text | 41B1 | byte_41B1 | data_pointer | data_item_size=1
3A6C | __text | 41B0 | __MergedGlobals | data_pointer | data_item_size=1
3AA8 | __stubs | 4050 | _free_ptr_0 | import_pointer | import_entry
3AAC | __stubs | 4050 | _free_ptr_0 | import_pointer | import_entry
3AAC | __stubs | 42C0 | __imp__free | import_pointer | import_entry
3AB4 | __stubs | 4058 | _malloc_ptr | import_pointer | import_entry
3AB8 | __stubs | 4058 | _malloc_ptr | import_pointer | import_entry
3AB8 | __stubs | 42C8 | __imp__malloc | import_pointer | import_entry
3AC0 | __stubs | 4060 | __NSGetMachExecuteHeader_ptr | import_pointer | import_entry
3AC4 | __stubs | 4060 | __NSGetMachExecuteHeader_ptr | import_pointer | import_entry
3AC4 | __stubs | 42E8 | __imp___NSGetMachExecuteHeader | import_pointer | import_entry
3ACC | __stubs | 4068 | _exit_ptr | import_pointer | import_entry
3AD0 | __stubs | 4068 | _exit_ptr | import_pointer | import_entry
3AD0 | __stubs | 42F0 | __imp__exit | import_pointer | import_entry
3AD8 | __stubs | 4070 | _strcmp_ptr | import_pointer | import_entry
3ADC | __stubs | 4070 | _strcmp_ptr | import_pointer | import_entry
3ADC | __stubs | 42F8 | __imp__strcmp | import_pointer | import_entry
3AE4 | __stubs | 4078 | _strlen_ptr | import_pointer | import_entry
3AE8 | __stubs | 4078 | _strlen_ptr | import_pointer | import_entry
3AE8 | __stubs | 4300 | __imp__strlen | import_pointer | import_entry
3AF0 | __stubs | 4080 | _strncmp_ptr | import_pointer | import_entry
3AF4 | __stubs | 4080 | _strncmp_ptr | import_pointer | import_entry
3AF4 | __stubs | 4308 | __imp__strncmp | import_pointer | import_entry
3AFC | __stubs | 4088 | _strrchr_ptr | import_pointer | import_entry
3B00 | __stubs | 4088 | _strrchr_ptr | import_pointer | import_entry
3B00 | __stubs | 4310 | __imp__strrchr | import_pointer | import_entry
3B08 | __stubs | 4090 | _pthread_getspecific_ptr | import_pointer | import_entry
3B0C | __stubs | 4090 | _pthread_getspecific_ptr | import_pointer | import_entry
3B0C | __stubs | 4318 | __imp__pthread_getspecific | import_pointer | import_entry
3B14 | __stubs | 4098 | _pthread_key_create_ptr | import_pointer | import_entry
3B18 | __stubs | 4098 | _pthread_key_create_ptr | import_pointer | import_entry
3B18 | __stubs | 4320 | __imp__pthread_key_create | import_pointer | import_entry
3B20 | __stubs | 40A0 | _pthread_mutex_lock_ptr | import_pointer | import_entry
3B24 | __stubs | 40A0 | _pthread_mutex_lock_ptr | import_pointer | import_entry
3B24 | __stubs | 4330 | __imp__pthread_mutex_lock | import_pointer | import_entry
3B2C | __stubs | 40A8 | _pthread_mutex_unlock_ptr | import_pointer | import_entry
3B30 | __stubs | 40A8 | _pthread_mutex_unlock_ptr | import_pointer | import_entry
3B30 | __stubs | 4338 | __imp__pthread_mutex_unlock | import_pointer | import_entry
3B38 | __stubs | 40B0 | _pthread_setspecific_ptr | import_pointer | import_entry
3B3C | __stubs | 40B0 | _pthread_setspecific_ptr | import_pointer | import_entry
3B3C | __stubs | 4328 | __imp__pthread_setspecific | import_pointer | import_entry
3B44 | __stubs | 40B8 | _vproc_swap_integer_ptr | import_pointer | import_entry
3B48 | __stubs | 40B8 | _vproc_swap_integer_ptr | import_pointer | import_entry
3B48 | __stubs | 4340 | __imp__vproc_swap_integer | import_pointer | import_entry
3B50 | __stub_helper | 4048 | off_4048 | data_pointer | data_item_size=8
3B5C | __stub_helper | 4040 | dyld_stub_binder_ptr | data_pointer | data_item_size=8
3B60 | __stub_helper | 2B68 | dyld_stub_binder | function_pointer | function_start
3B60 | __stub_helper | 4040 | dyld_stub_binder_ptr | data_pointer | data_item_size=8
3B68 | __stub_helper | 3B70 | dword_3B70 | data_pointer | data_item_size=4
3B74 | __stub_helper | 3B7C | dword_3B7C | data_pointer | data_item_size=4
3B80 | __stub_helper | 3B88 | dword_3B88 | data_pointer | data_item_size=4
3B8C | __stub_helper | 3B94 | dword_3B94 | data_pointer | data_item_size=4
3B98 | __stub_helper | 3BA0 | dword_3BA0 | data_pointer | data_item_size=4
3BA4 | __stub_helper | 3BAC | dword_3BAC | data_pointer | data_item_size=4
3BB0 | __stub_helper | 3BB8 | dword_3BB8 | data_pointer | data_item_size=4
3BBC | __stub_helper | 3BC4 | dword_3BC4 | data_pointer | data_item_size=4
3BC8 | __stub_helper | 3BD0 | dword_3BD0 | data_pointer | data_item_size=4
3BD4 | __stub_helper | 3BDC | dword_3BDC | data_pointer | data_item_size=4
3BE0 | __stub_helper | 3BE8 | dword_3BE8 | data_pointer | data_item_size=4
3BEC | __stub_helper | 3BF4 | dword_3BF4 | data_pointer | data_item_size=4
3BF8 | __stub_helper | 3C00 | dword_3C00 | data_pointer | data_item_size=4
3C04 | __stub_helper | 3C0C | dword_3C0C | data_pointer | data_item_size=4
4018 | __dyld | 4298 | _NXArgc | unknown_pointer | 
4020 | __dyld | 42A0 | _NXArgv | unknown_pointer | 
4028 | __dyld | 42A8 | _environ | unknown_pointer | 
4030 | __dyld | 42B0 | ___progname | unknown_pointer | 
4038 | __got | 42C0 | __imp__free | import_pointer | import_entry
4040 | __got | 2B68 | dyld_stub_binder | function_pointer | function_start
4050 | __la_symbol_ptr | 42C0 | __imp__free | import_pointer | import_entry
4058 | __la_symbol_ptr | 42C8 | __imp__malloc | import_pointer | import_entry
4060 | __la_symbol_ptr | 42E8 | __imp___NSGetMachExecuteHeader | import_pointer | import_entry
4068 | __la_symbol_ptr | 42F0 | __imp__exit | import_pointer | import_entry
4070 | __la_symbol_ptr | 42F8 | __imp__strcmp | import_pointer | import_entry
4078 | __la_symbol_ptr | 4300 | __imp__strlen | import_pointer | import_entry
4080 | __la_symbol_ptr | 4308 | __imp__strncmp | import_pointer | import_entry
4088 | __la_symbol_ptr | 4310 | __imp__strrchr | import_pointer | import_entry
4090 | __la_symbol_ptr | 4318 | __imp__pthread_getspecific | import_pointer | import_entry
4098 | __la_symbol_ptr | 4320 | __imp__pthread_key_create | import_pointer | import_entry
40A0 | __la_symbol_ptr | 4330 | __imp__pthread_mutex_lock | import_pointer | import_entry
40A8 | __la_symbol_ptr | 4338 | __imp__pthread_mutex_unlock | import_pointer | import_entry
40B0 | __la_symbol_ptr | 4328 | __imp__pthread_setspecific | import_pointer | import_entry
40B8 | __la_symbol_ptr | 4340 | __imp__vproc_swap_integer | import_pointer | import_entry
4108 | __data | 2AE4 | __Z21dyldGlobalLockAcquirev | function_pointer | function_start
4110 | __data | 2B4C | __Z21dyldGlobalLockReleasev | function_pointer | function_start
4118 | __data | 3930 | __ZL29getPerThreadBufferFor_dlerrorj | function_pointer | function_start
4120 | __data | 42C8 | __imp__malloc | import_pointer | import_entry
4128 | __data | 42C0 | __imp__free | import_pointer | import_entry
4130 | __data | 42D8 | ___cxa_atexit | unknown_pointer | 
4138 | __data | 39D0 | __ZL20shared_cache_missingv | function_pointer | function_start
4140 | __data | 39D4 | __ZL24shared_cache_out_of_datev | function_pointer | function_start
4158 | __data | 4320 | __imp__pthread_key_create | import_pointer | import_entry
4160 | __data | 4328 | __imp__pthread_setspecific | import_pointer | import_entry
4168 | __data | 42D0 | _malloc_size | unknown_pointer | 
4170 | __data | 4318 | __imp__pthread_getspecific | import_pointer | import_entry
4178 | __data | 42E0 | ___cxa_finalize | unknown_pointer | 
4180 | __data | 3AA0 | _start | function_pointer | function_start
4188 | __data | 39D8 | __ZL29hasPerThreadBufferFor_dlerrorv | function_pointer | function_start
4190 | __data | 3A14 | __ZL14isLaunchdOwnedv | function_pointer | function_start
4198 | __data | 4350 | _vm_allocate | unknown_pointer | 
41A0 | __data | 4348 | _mmap | unknown_pointer | 
