# Total Pointers Found: 290
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 290
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
5CFC | __text | 7F03 | aU | string_pointer | "%u"
5D14 | __text | 7F16 | aTime | string_pointer | "] [Time"
5D2C | __text | 5A8C | __simple_asl_escape_val | function_pointer | function_start
5D38 | __text | 7F1F | aLu | string_pointer | "%lu"
5D4C | __text | 7F23 | aTimenanosec | string_pointer | "] [TimeNanoSec"
5D6C | __text | 5A8C | __simple_asl_escape_val | function_pointer | function_start
5D78 | __text | 7F33 | aD | string_pointer | "%d"
5D8C | __text | 7F36 | asc_7F36 | string_pointer | "]"
5DE4 | __text | 8140 | qword_8140 | data_pointer | data_item_size=8
5DE8 | __text | 8110 | __MergedGlobals | data_pointer | data_item_size=8
5DF0 | __text | 8118 | off_8118 | data_pointer | data_item_size=8
5DF4 | __text | 5E04 | __simple_asl_fd_once | function_pointer | function_start
5E1C | __text | 8138 | __MergedGlobals27 | data_pointer | data_item_size=1
5E24 | __text | 8138 | __MergedGlobals27 | data_pointer | data_item_size=1
63FC | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
6400 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
6400 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6404 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6420 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
6424 | __text | 8000 | _mach_task_self__ptr | data_pointer | data_item_size=8
6424 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
6428 | __text | 8158 | _mach_task_self_ | data_pointer | data_item_size=4
64A0 | __text | 64D8 | __flush_reset | function_pointer | function_start
653C | __text | 6C54 | jpt_670C | data_pointer | data_item_size=4
6C54 | __text | 6884 | loc_6884 | code_pointer | inside____simple_bprintf
6C58 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C5C | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C60 | __text | 6694 | loc_6694 | code_pointer | inside____simple_bprintf
6C64 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C68 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C6C | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C70 | __text | 6988 | loc_6988 | code_pointer | inside____simple_bprintf
6C74 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C78 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C7C | __text | 69B8 | loc_69B8 | code_pointer | inside____simple_bprintf
6C80 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
6C84 | __text | 6A84 | loc_6A84 | code_pointer | inside____simple_bprintf
6C88 | __text | 68A4 | def_670C | code_pointer | inside____simple_bprintf
