# Total Pointers Found: 1054
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 1054
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
4CE4 | __text | 22700 | __gethostuuid_callback | data_pointer | data_item_size=8
4CEC | __text | 22700 | __gethostuuid_callback | data_pointer | data_item_size=8
4CF8 | __text | 22700 | __gethostuuid_callback | data_pointer | data_item_size=8
4D3C | __text | 22018 | _NDR_record | struct_pointer | struct_data
4D44 | __text | 22018 | _NDR_record | struct_pointer | struct_data
4FD8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
4FE4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5140 | __text | 22018 | _NDR_record | struct_pointer | struct_data
514C | __text | 22018 | _NDR_record | struct_pointer | struct_data
52A4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
52AC | __text | 22018 | _NDR_record | struct_pointer | struct_data
5464 | __text | 22018 | _NDR_record | struct_pointer | struct_data
546C | __text | 22018 | _NDR_record | struct_pointer | struct_data
57A8 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
57AC | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
580C | __text | 22018 | _NDR_record | struct_pointer | struct_data
5824 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5998 | __text | 22018 | _NDR_record | struct_pointer | struct_data
59A0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5BB0 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5BC8 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5D44 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5D4C | __text | 22018 | _NDR_record | struct_pointer | struct_data
5EC8 | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
5ECC | __text | 220B0 | ___syscall_logger | data_pointer | data_item_size=8
5F40 | __text | 22018 | _NDR_record | struct_pointer | struct_data
5F48 | __text | 22018 | _NDR_record | struct_pointer | struct_data
62AC | __text | 22018 | _NDR_record | struct_pointer | struct_data
62B4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
6560 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
6568 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
6574 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
657C | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
6588 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
6590 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
65B0 | __text | 22098 | __libkernel_functions | data_pointer | data_item_size=8
