# Total Pointers Found: 2222
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2222
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
5BD4 | __text | E4F8 | classRef_NSUserDefaults | data_pointer | data_item_size=8
5BD4 | __text | E9A8 | _OBJC_CLASS_$_NSUserDefaults | unknown_pointer | 
5BDC | __text | 9DF3 | sel_standardUserDefaults | string_pointer | "standardUserDefaults"
5BDC | __text | E138 | selRef_standardUserDefaults | data_pointer | data_item_size=8
5BE8 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
5BE8 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
5BEC | __text | C310 | cfstr_Applelanguages | struct_pointer | struct_data
5BFC | __text | 9E16 | sel_objectAtIndex: | string_pointer | "objectAtIndex:"
5BFC | __text | E148 | selRef_objectAtIndex: | data_pointer | data_item_size=8
5C10 | __text | 9E25 | sel_hasPrefix: | string_pointer | "hasPrefix:"
5C10 | __text | E150 | selRef_hasPrefix: | data_pointer | data_item_size=8
5C14 | __text | C330 | cfstr_ZhHans | struct_pointer | struct_data
5C38 | __text | C350 | cfstr_ZhHant | struct_pointer | struct_data
5C60 | __text | E4F8 | classRef_NSUserDefaults | data_pointer | data_item_size=8
5C60 | __text | E9A8 | _OBJC_CLASS_$_NSUserDefaults | unknown_pointer | 
5C68 | __text | 9DF3 | sel_standardUserDefaults | string_pointer | "standardUserDefaults"
5C68 | __text | E138 | selRef_standardUserDefaults | data_pointer | data_item_size=8
5C74 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
5C74 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
5C78 | __text | C370 | cfstr_Otrcfg | struct_pointer | struct_data
5C8C | __text | E500 | classRef_NSMutableDictionary | data_pointer | data_item_size=8
5C8C | __text | E998 | _OBJC_CLASS_$_NSMutableDictionary | unknown_pointer | 
5C98 | __text | 9E3B | sel_dictionaryWithDictionary: | string_pointer | "dictionaryWithDictionary:"
5C98 | __text | E160 | selRef_dictionaryWithDictionary: | data_pointer | data_item_size=8
5CAC | __text | 9E30 | sel_dictionary | string_pointer | "dictionary"
5CAC | __text | E158 | selRef_dictionary | data_pointer | data_item_size=8
5CB8 | __text | 93FB | sel_retain | string_pointer | "retain"
5CB8 | __text | E168 | selRef_retain | data_pointer | data_item_size=8
5CD8 | __text | E4F8 | classRef_NSUserDefaults | data_pointer | data_item_size=8
5CD8 | __text | E9A8 | _OBJC_CLASS_$_NSUserDefaults | unknown_pointer | 
5CE0 | __text | 9DF3 | sel_standardUserDefaults | string_pointer | "standardUserDefaults"
5CE0 | __text | E138 | selRef_standardUserDefaults | data_pointer | data_item_size=8
5CEC | __text | 9E55 | sel_setObject:forKey: | string_pointer | "setObject:forKey:"
5CEC | __text | E170 | selRef_setObject:forKey: | data_pointer | data_item_size=8
5CF0 | __text | C370 | cfstr_Otrcfg | struct_pointer | struct_data
5D14 | __text | E508 | classRef_appTweakHelper | data_pointer | data_item_size=8
5D14 | __text | E5A8 | _OBJC_CLASS_$_appTweakHelper | struct_pointer | struct_data
5D1C | __text | 9E67 | sel_OTRConfig | string_pointer | "OTRConfig"
5D1C | __text | E178 | selRef_OTRConfig | data_pointer | data_item_size=8
5D28 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
5D28 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
5D2C | __text | C390 | cfstr_Tip | struct_pointer | struct_data
5D54 | __text | E508 | classRef_appTweakHelper | data_pointer | data_item_size=8
5D58 | __text | E508 | classRef_appTweakHelper | data_pointer | data_item_size=8
5D58 | __text | E5A8 | _OBJC_CLASS_$_appTweakHelper | struct_pointer | struct_data
5D60 | __text | 9E67 | sel_OTRConfig | string_pointer | "OTRConfig"
5D60 | __text | E178 | selRef_OTRConfig | data_pointer | data_item_size=8
5D70 | __text | E510 | classRef_NSNumber | data_pointer | data_item_size=8
5D70 | __text | E958 | _OBJC_CLASS_$_NSNumber | unknown_pointer | 
5D78 | __text | 9E71 | sel_numberWithBool: | string_pointer | "numberWithBool:"
5D78 | __text | E180 | selRef_numberWithBool: | data_pointer | data_item_size=8
5D8C | __text | 9E81 | sel_setValue:forKeyPath: | string_pointer | "setValue:forKeyPath:"
5D8C | __text | E188 | selRef_setValue:forKeyPath: | data_pointer | data_item_size=8
5D90 | __text | C390 | cfstr_Tip | struct_pointer | struct_data
5DA0 | __text | E508 | classRef_appTweakHelper | data_pointer | data_item_size=8
5DA0 | __text | E5A8 | _OBJC_CLASS_$_appTweakHelper | struct_pointer | struct_data
5DA8 | __text | 9E96 | sel_saveOTRConfig: | string_pointer | "saveOTRConfig:"
5DA8 | __text | E190 | selRef_saveOTRConfig: | data_pointer | data_item_size=8
5DB8 | __text | E4F8 | classRef_NSUserDefaults | data_pointer | data_item_size=8
5DB8 | __text | E9A8 | _OBJC_CLASS_$_NSUserDefaults | unknown_pointer | 
5DC0 | __text | 9DF3 | sel_standardUserDefaults | string_pointer | "standardUserDefaults"
5DC0 | __text | E138 | selRef_standardUserDefaults | data_pointer | data_item_size=8
5DCC | __text | 9EA5 | sel_synchronize | string_pointer | "synchronize"
5DCC | __text | E198 | selRef_synchronize | data_pointer | data_item_size=8
5E18 | __text | E518 | classRef_NSPropertyListSerialization | data_pointer | data_item_size=8
5E18 | __text | E960 | _OBJC_CLASS_$_NSPropertyListSerialization | unknown_pointer | 
5E20 | __text | 9EB1 | sel_dataFromPropertyList:format:errorDescription: | string_pointer | "dataFromPropertyList:format:errorDescription:"
5E20 | __text | E1A0 | selRef_dataFromPropertyList:format:errorDescription: | data_pointer | data_item_size=8
5E48 | __text | C038 | _kCFRunLoopDefaultMode_ptr | data_pointer | data_item_size=8
5E48 | __text | E9C8 | _kCFRunLoopDefaultMode | data_pointer | data_item_size=8
5E4C | __text | E9C8 | _kCFRunLoopDefaultMode | data_pointer | data_item_size=8
5E74 | __text | E518 | classRef_NSPropertyListSerialization | data_pointer | data_item_size=8
5E74 | __text | E960 | _OBJC_CLASS_$_NSPropertyListSerialization | unknown_pointer | 
5E7C | __text | 9EDF | sel_propertyListFromData:mutabilityOption:format:errorDescription: | string_pointer | "propertyListFromData:mutabilityOption:format:errorDescription:"
5E7C | __text | E1A8 | selRef_propertyListFromData:mutabilityOption:format:errorDescription: | data_pointer | data_item_size=8
5EC0 | __text | E518 | classRef_NSPropertyListSerialization | data_pointer | data_item_size=8
5EC0 | __text | E960 | _OBJC_CLASS_$_NSPropertyListSerialization | unknown_pointer | 
5EC8 | __text | 9EDF | sel_propertyListFromData:mutabilityOption:format:errorDescription: | string_pointer | "propertyListFromData:mutabilityOption:format:errorDescription:"
5EC8 | __text | E1A8 | selRef_propertyListFromData:mutabilityOption:format:errorDescription: | data_pointer | data_item_size=8
5EE0 | __text | E518 | classRef_NSPropertyListSerialization | data_pointer | data_item_size=8
5EE0 | __text | E960 | _OBJC_CLASS_$_NSPropertyListSerialization | unknown_pointer | 
5EE8 | __text | 9EB1 | sel_dataFromPropertyList:format:errorDescription: | string_pointer | "dataFromPropertyList:format:errorDescription:"
5EE8 | __text | E1A0 | selRef_dataFromPropertyList:format:errorDescription: | data_pointer | data_item_size=8
5F08 | __text | E588 | classRef_OTRAppObject_0 | data_pointer | data_item_size=8
5F08 | __text | E5F8 | _OBJC_CLASS_$_OTRAppObject | struct_pointer | struct_data
5F14 | __text | 933E | sel_init | string_pointer | "init"
5F14 | __text | E0E0 | selRef_init | data_pointer | data_item_size=8
5F44 | __text | E870 | qword_E870 | data_pointer | data_item_size=8
5F48 | __text | E870 | qword_E870 | data_pointer | data_item_size=8
5F54 | __text | E520 | classRef_OTRAppObject | data_pointer | data_item_size=8
5F54 | __text | E5F8 | _OBJC_CLASS_$_OTRAppObject | struct_pointer | struct_data
5F5C | __text | 9338 | sel_alloc | string_pointer | "alloc"
5F5C | __text | E0D8 | selRef_alloc | data_pointer | data_item_size=8
5F68 | __text | 933E | sel_init | string_pointer | "init"
5F68 | __text | E0E0 | selRef_init | data_pointer | data_item_size=8
5F74 | __text | E870 | qword_E870 | data_pointer | data_item_size=8
5FB4 | __text | E878 | qword_E878 | data_pointer | data_item_size=8
5FB8 | __text | E878 | qword_E878 | data_pointer | data_item_size=8
5FC4 | __text | E528 | classRef_NSBundle | data_pointer | data_item_size=8
5FC4 | __text | E940 | _OBJC_CLASS_$_NSBundle | unknown_pointer | 
5FCC | __text | 9FAA | sel_mainBundle | string_pointer | "mainBundle"
5FCC | __text | E1B0 | selRef_mainBundle | data_pointer | data_item_size=8
5FD8 | __text | 9FB5 | sel_bundleIdentifier | string_pointer | "bundleIdentifier"
5FD8 | __text | E1B8 | selRef_bundleIdentifier | data_pointer | data_item_size=8
5FE4 | __text | 93FB | sel_retain | string_pointer | "retain"
5FE4 | __text | E168 | selRef_retain | data_pointer | data_item_size=8
5FEC | __text | E878 | qword_E878 | data_pointer | data_item_size=8
6028 | __text | 9FB5 | sel_bundleIdentifier | string_pointer | "bundleIdentifier"
6028 | __text | E1B8 | selRef_bundleIdentifier | data_pointer | data_item_size=8
603C | __text | 9FC6 | sel_fakeDeviceModuleSwitch | string_pointer | "fakeDeviceModuleSwitch"
603C | __text | E1C0 | selRef_fakeDeviceModuleSwitch | data_pointer | data_item_size=8
6050 | __text | 9FDD | sel_allBundleIdentifierConfig | string_pointer | "allBundleIdentifierConfig"
6050 | __text | E1C8 | selRef_allBundleIdentifierConfig | data_pointer | data_item_size=8
6064 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
6064 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
6078 | __text | C3B0 | cfstr_Un | struct_pointer | struct_data
6094 | __text | 9FF7 | sel_to: | string_pointer | "to:"
6094 | __text | E1D0 | selRef_to: | data_pointer | data_item_size=8
60C4 | __text | 9FFB | sel_UTF8String | string_pointer | "UTF8String"
60C4 | __text | E1D8 | selRef_UTF8String | data_pointer | data_item_size=8
60D8 | __text | A006 | sel_length | string_pointer | "length"
60D8 | __text | E1E0 | selRef_length | data_pointer | data_item_size=8
